"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","5/27/1959","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",13698
"2","Brassicaceae","Berteroa","Berteroa incana","plant flowering begin","5/28/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14359
"3","Brassicaceae","Lepidium","Lepidium densiflorum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15462
"4","Brassicaceae","Brassica","Brassica juncea","plant flowering begin","6/3/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15482
"5","Brassicaceae","Sinapis","Sinapis arvensis","plant flowering begin","6/2/1960","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15492
"6","Brassicaceae","Lepidium","Lepidium ramosissimum","plant flowering begin","7/1/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15498
"7","Brassicaceae","Rorippa","Rorippa islandica","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15500
"8","Brassicaceae","Thlaspi","Thlaspi arvense","plant flowering begin","5/19/1931","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15501
"9","Brassicaceae","Conringia","Conringia orientalis","whole plant height","0.5","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",15692
"10","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","5/30/1960","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101454
"11","Brassicaceae","Cardaria","Cardaria draba","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102676
"12","Brassicaceae","Brassica","Brassica juncea","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102678
"13","Brassicaceae","Capsella","Capsella bursa-pastoris","plant flowering begin","4/9/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102680
"14","Brassicaceae","Lesquerella",NA,"plant flowering begin","5/1/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102681
"15","Brassicaceae","Conringia","Conringia orientalis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102693
"16","Brassicaceae","Conringia","Conringia orientalis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102694
"17","Brassicaceae","Descurainia","Descurainia pinnata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102696
"18","Brassicaceae","Descurainia","Descurainia incana","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102697
"19","Brassicaceae","Descurainia","Descurainia sophia","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102698
"20","Brassicaceae","Descurainia","Descurainia sophia","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102699
"21","Brassicaceae","Lepidium","Lepidium densiflorum","plant flowering begin","5/19/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102700
"22","Brassicaceae","Arabis","Arabis hirsuta","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102701
"23","Brassicaceae","Cardaria","Cardaria draba","plant flowering begin","6/1/1914","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102703
"24","Brassicaceae","Armoracia","Armoracia rusticana","plant flowering begin","6/8/1915","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102706
"25","Brassicaceae","Cardaria","Cardaria pubescens","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3103592
"26","Brassicaceae","Smelowskia","Smelowskia calycina","leaf phosphorus content per leaf dry mass","4.60979","mg.g-1",NA,NA,NA,4267,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado",NA,"public",3103593
"27","Brassicaceae","Thlaspi","Thlaspi arvense","plant flowering begin","4/17/1915","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3103624
"28","Brassicaceae","Smelowskia","Smelowskia calycina","leaf nitrogen content per leaf dry mass","62.85100994","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,4267,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado",NA,"public",3103625
"29","Brassicaceae","Sinapis","Sinapis arvensis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3103835
"30","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104162
"31","Brassicaceae","Thlaspi","Thlaspi arvense","plant flowering begin","5/10/1914","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104420
"32","Brassicaceae","Erucastrum","Erucastrum gallicum","plant flowering begin","6/15/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104484
"33","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3105476
"34","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","6/9/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3105477
"35","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3105498
"36","Brassicaceae","Hesperis","Hesperis matronalis","plant flowering begin","5/17/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107168
"37","Brassicaceae","Brassica","Brassica nigra","seed mass","0.825305","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3188387
"38","Brassicaceae","Brassica","Brassica nigra","whole plant height","1.5","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3781747
"39","Brassicaceae","Brassica","Brassica nigra","leaf area per leaf dry mass","26.55469","m2.kg-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3781748
