"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Caprifoliaceae","Symphoricarpos",NA,"leaf area","270","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",15061
"2","Caprifoliaceae","Symphoricarpos",NA,"leaf area per leaf dry mass","16.10305958","m2.kg-1","leaf dry area calculated with photpographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",15156
"3","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/22/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15522
"4","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/21/1948","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15525
"5","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","6/2/1935","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15528
"6","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15529
"7","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/10/1952","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15535
"8","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15542
"9","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102722
"10","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102708
"11","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102713
"12","Caprifoliaceae","Symphoricarpos","Symphoricarpos occidentalis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102732
"13","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/15/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102737
"14","Caprifoliaceae","Lonicera","Lonicera maackii","plant flowering begin","6/3/1933","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102738
"15","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/24/1948","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3103837
"16","Caprifoliaceae","Linnaea","Linnaea borealis","seed mass","1.774326","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3105991
"17","Caprifoliaceae","Symphoricarpos","Symphoricarpos albus","leaf area per leaf dry mass","22.47188","m2.kg-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3109691
"18","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110983
"19","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/30/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111102
"20","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/18/1938","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111103
"21","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111137
"22","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111158
"23","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111159
"24","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111167
"25","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/25/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111165
"26","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111166
"27","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111169
"28","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111170
"29","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/24/1960","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111171
"30","Caprifoliaceae","Symphoricarpos","Symphoricarpos occidentalis","plant flowering begin","7/2/1950","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111193
"31","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/30/1940","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111242
"32","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111243
"33","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","6/1/1943","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111244
"34","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/21/1949","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111245
"35","Caprifoliaceae","Symphoricarpos",NA,"leaf dry mass","0.02","g","actual measurement",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","North Carolina","Duke Forest","public",3115049
"36","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/17/1939","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3115912
"37","Caprifoliaceae","Linnaea","Linnaea borealis","leaf area per leaf dry mass","26.08748","m2.kg-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3121280
"38","Caprifoliaceae","Lonicera","Lonicera interrupta","leaf area per leaf dry mass","0.131788005","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3125257
"39","Caprifoliaceae","Linnaea","Linnaea borealis","whole plant growth form","shrub",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Sean_Thomas4/publication/280745979_Plant_diversity_in_managed_forests_Understory_responses_to_thinning_and_fertilization/links/55c9587508aeb97567478058.pdf","Thomas SC",NA,"United States","Washington",NA,"public",3125542
"40","Caprifoliaceae","Lonicera","Lonicera dioica","whole plant height","3","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3126789
"41","Caprifoliaceae","Lonicera","Lonicera hispidula","seed mass","6.85","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3147831
"42","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","5/24/1928","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153011
"43","Caprifoliaceae","Lonicera","Lonicera dioica","plant flowering begin","6/7/1950","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153054
"44","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153058
"45","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/27/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153060
"46","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153061
"47","Caprifoliaceae","Lonicera","Lonicera tatarica","plant flowering begin","5/17/1951","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153063
