"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Convolvulaceae","Ipomoea","Ipomoea repens","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15650
"2","Convolvulaceae","Ipomoea","Ipomoea philomega","whole plant growth form","liana",NA,NA,10.4263,-83.9958,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1749089
"3","Convolvulaceae","Ipomoea","Ipomoea repens","plant flowering begin","6/14/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102793
"4","Convolvulaceae","Ipomoea","Ipomoea repens","plant flowering begin","6/6/1952","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102811
"5","Convolvulaceae","Ipomoea","Ipomoea repens","plant flowering begin","6/23/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102812
"6","Convolvulaceae","Cuscuta","Cuscuta gronovii","plant flowering begin","8/4/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102861
"7","Convolvulaceae","Cuscuta","Cuscuta campestris","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111396
"8","Convolvulaceae","Convolvulus","Convolvulus arvensis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111421
"9","Convolvulaceae","Ipomoea","Ipomoea repens","plant flowering begin","6/19/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111501
"10","Convolvulaceae","Ipomoea","Ipomoea repens","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111503
"11","Convolvulaceae","Calystegia","Calystegia sepium","plant flowering begin","6/25/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111505
"12","Convolvulaceae","Calystegia","Calystegia sepium","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111506
"13","Convolvulaceae","Convolvulus","Convolvulus arvensis","plant flowering begin","6/23/1935","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111518
