"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Euphorbiaceae","Sapium","Sapium sebiferum","whole plant height","20.7264","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",63
"2","Euphorbiaceae","Alchornea","Alchornea latifolia","diameter at breast height (1.3 m)","23.5","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",788175
"3","Euphorbiaceae","Alchornea",NA,"diameter at breast height (1.3 m)","6.59","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",801574
"4","Euphorbiaceae","Alchornea",NA,"diameter at breast height (1.3 m)","12.1","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",977117
"5","Euphorbiaceae","Alchornea","Alchornea latifolia","diameter at breast height (1.3 m)","4.19","cm",NA,10.1825,-84.1069,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",990788
"6","Euphorbiaceae","Alchornea",NA,"diameter at breast height (1.3 m)","2.79","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1342997
"7","Euphorbiaceae","Alchornea",NA,"diameter at breast height (1.3 m)","6.9","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1449034
"8","Euphorbiaceae","Alchornea",NA,"whole plant growth form","tree",NA,NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1803918
"9","Euphorbiaceae","Croton",NA,"whole plant growth form","tree",NA,NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1863948
"10","Euphorbiaceae","Alchornea",NA,"whole plant growth form","tree",NA,NA,17.5778,-96.3333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1971965
"11","Euphorbiaceae","Sapium",NA,"whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1972092
"12","Euphorbiaceae","Dalechampia","Dalechampia scandens","seed mass","40.23","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.nb675","PÃ©labon C","christophe.pelabon@ntnu.no","Mexico","Quintana Roo",NA,"public",3101253
"13","Euphorbiaceae","Dalechampia","Dalechampia scandens","seed mass","36.2","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.nb675","PÃ©labon C","christophe.pelabon@ntnu.no","Mexico","Quintana Roo",NA,"public",3101254
"14","Euphorbiaceae","Dalechampia","Dalechampia scandens","seed mass","34.1","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.nb675","PÃ©labon C","christophe.pelabon@ntnu.no","Mexico","Quintana Roo",NA,"public",3101255
"15","Euphorbiaceae","Euphorbia","Euphorbia serpyllifolia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101257
"16","Euphorbiaceae","Macaranga","Macaranga mappa","stem wood density","0.27","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.rs7b0.2","Mascaro J","jmascaro@stanford.edu","United States","Hawaii",NA,"public",3101589
"17","Euphorbiaceae","Sapium","Sapium glandulosum","whole plant height","12","m","Clinometer and distance measurer",8.7275,-83.2161,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3102359
"18","Euphorbiaceae","Croton","Croton pseudoniveus","stem wood density","0.6","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3102858
"19","Euphorbiaceae","Gymnanthes","Gymnanthes lucida","whole plant height","7.3152","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3102974
