"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101511
"2","Liliaceae","Prosartes","Prosartes trachycarpa","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3105932
"3","Liliaceae","Lilium","Lilium columbianum","seed mass","2.646184","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3105960
"4","Liliaceae","Toxicoscordion","Toxicoscordion venenosum","seed mass","1.66336","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3109748
"5","Liliaceae","Calochortus","Calochortus superbus","leaf carbon content per leaf nitrogen content","31.1119403",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3113158
"6","Liliaceae","Lilium","Lilium superbum","whole plant height","2.5","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3129639
"7","Liliaceae","Medeola","Medeola virginiana","whole plant height","0.9","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3129729
"8","Liliaceae","Erythronium","Erythronium oregonum","seed mass","5.0544","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3155023
"9","Liliaceae","Erythronium","Erythronium oregonum","whole plant height","0.35","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3155025
"10","Liliaceae","Fritillaria","Fritillaria affinis","seed mass","2.204","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3157844
"11","Liliaceae","Erythronium","Erythronium albidum","plant flowering begin","5/11/1947","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3162835
"12","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6/26/1925","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3201826
"13","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6/28/1912","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202021
"14","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202023
"15","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6/23/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202025
"16","Liliaceae","Lilium","Lilium pumilum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202407
"17","Liliaceae","Prosartes","Prosartes trachycarpa","plant flowering begin","5/25/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202404
"18","Liliaceae","Lilium","Lilium pumilum","plant flowering begin","6/15/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202442
"19","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202460
"20","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3202465
"21","Liliaceae","Fritillaria","Fritillaria atropurpurea","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3250660
"22","Liliaceae","Erythronium","Erythronium grandiflorum","leaf phosphorus content per leaf dry mass","2.52093","mg.g-1",NA,38.96078,-107.0167,3155,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado","Leaving Crested Butte CO N on Hwy 317 approx 1.5 miles then 6.6 miles N on Washington Gulch Road. Gently sloping subalpine meadow on E side of road. Low NW slopes of Gothic Mountain.","public",3255955
"23","Liliaceae","Lilium","Lilium philadelphicum","plant flowering begin","6/20/1914","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3255968
"24","Liliaceae","Fritillaria","Fritillaria affinis","whole plant height","0.8","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3260931
"25","Liliaceae","Lilium","Lilium columbianum","whole plant height","1.2","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3261250
"26","Liliaceae","Fritillaria","Fritillaria atropurpurea","plant flowering begin","5/26/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3403587
