"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Malpighiaceae",NA,NA,"diameter at breast height (1.3 m)","3","cm",NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",560671
"2","Malpighiaceae","Byrsonima",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,9.16667,-79.75,NA,NA,"James S. MIller",NA,"Panama",NA,NA,"public",882735
"3","Malpighiaceae",NA,NA,"whole plant growth form","liana",NA,NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1754293
"4","Malpighiaceae",NA,NA,"whole plant growth form","liana",NA,NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1834663
"5","Malpighiaceae","Bunchosia","Bunchosia argentea","leaf nitrogen content per leaf dry mass","39.8","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3120186
"6","Malpighiaceae","Bunchosia","Bunchosia nitida","leaf nitrogen content per leaf dry mass","35.9","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3123164
"7","Malpighiaceae","Spachea","Spachea membranacea","seed mass","9.47","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3123168
"8","Malpighiaceae","Hiraea","Hiraea grandifolia","leaf nitrogen content per leaf dry mass","20.3","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3123169
"9","Malpighiaceae","Bunchosia","Bunchosia palmeri","stem wood density","0.74","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3188649
"10","Malpighiaceae","Bunchosia","Bunchosia nitida","seed mass","1115.5","mg",NA,9.15,-79.85,NA,"http://datadryad.org/resource/doi:10.5061/dryad.90f03","Fricke EC","ecfricke@iastate.edu","Panama","Panama",NA,"public",3237538
"11","Malpighiaceae","Bunchosia","Bunchosia ternata","leaf carbon content per leaf dry mass","475.4","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",9.54941,-83.7995,2430,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","San Jose","OTS Plot","public",3250228
"12","Malpighiaceae","Tetrapterys","Tetrapterys tinifolia","leaf nitrogen content per leaf dry mass","22.3","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3256095
