"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Melastomataceae","Miconia","Miconia dissitinervia","leaf area","25664.8","mm2","LICOR-3100 area meter",8.703214,-83.5307,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",13997
"2","Melastomataceae","Miconia","Miconia donaeana","leaf area","20193.2","mm2","LICOR-3100 area meter",8.728298,-83.5663,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",14018
"3","Melastomataceae","Mouriri","Mouriri gleasoniana","leaf fresh mass","0.875","g","Radwag WTB 200 Precision Balance",8.711426,-83.5162,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",14058
"4","Melastomataceae","Miconia",NA,"diameter at breast height (1.3 m)","2.59","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",154913
"5","Melastomataceae","Miconia",NA,"diameter at breast height (1.3 m)","8","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",235110
"6","Melastomataceae","Miconia",NA,"diameter at breast height (1.3 m)","3.29","cm",NA,10.1836,-84.1072,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",438286
"7","Melastomataceae","Miconia",NA,"diameter at breast height (1.3 m)","8.8","cm",NA,10.2908,-84.0606,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",478481
"8","Melastomataceae","Mouriri","Mouriri gleasoniana","diameter at breast height (1.3 m)","8.8","cm",NA,10.2908,-84.0606,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",504988
"9","Melastomataceae","Miconia",NA,"diameter at breast height (1.3 m)","3","cm",NA,15.3333,-92.25,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",505110
"10","Melastomataceae","Miconia",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,17.5711,-96.3589,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",518960
