"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Olacaceae","Minquartia","Minquartia guianensis","diameter at breast height (1.3 m)","13","cm",NA,10.4248,-84.0395,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1073665
"2","Olacaceae","Heisteria","Heisteria concinna","leaf nitrogen content per leaf dry mass","19.4","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","Costa Rica","Puntarenas",NA,"public",3106869
"3","Olacaceae","Minquartia","Minquartia guianensis","diameter at breast height (1.3 m)","9.6","cm",NA,NA,NA,120,"http://datadryad.org/resource/doi:10.5061/dryad.sv181","Plourde BT","btplourde@ucdavis.edu","Costa Rica","Heredia",NA,"public",3123813
"4","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","18.25","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3131671
"5","Olacaceae","Heisteria","Heisteria concinna","stem wood density","0.73","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3131673
"6","Olacaceae","Heisteria","Heisteria acuminata","leaf area","3010","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","Panama",NA,NA,"public",3159502
"7","Olacaceae","Heisteria","Heisteria concinna","leaf carbon content per leaf dry mass","531.2","mg.g-1",NA,9.108611,-79.84361,NA,"http://datadryad.org/resource/doi:10.5061/dryad.257b9","Mayor JR","clavulina@gmail.com","Panama","Panama",NA,"public",3394667
"8","Olacaceae","Heisteria","Heisteria acuminata","leaf thickness","0.194","mm","lamina thickness is the thickness of the leaf lamina measured in regions that do not include primary or secondary veins.  Species means of the individual means of two leaves per individual for the lamina portion used in shearing test.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3451794
"9","Olacaceae","Heisteria","Heisteria acuminata","seed mass","148.244","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3451796
"10","Olacaceae","Heisteria","Heisteria acuminata","Leaf lamina fracture toughness","562.981","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3451798
"11","Olacaceae","Heisteria","Heisteria concinna","leaf thickness","0.197","mm","lamina thickness is the thickness of the leaf lamina measured in regions that do not include primary or secondary veins.  Species means of the individual means of two leaves per individual for the lamina portion used in shearing test.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3451805
"12","Olacaceae","Heisteria","Heisteria concinna","Leaf lamina fracture toughness","728.463","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3451807
"13","Olacaceae","Heisteria","Heisteria concinna","seed mass","148.132","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3451812
"14","Olacaceae","Heisteria","Heisteria scandens","whole plant growth form","liana",NA,NA,NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2006.01218.x/full","Santiago LS","santiago@ucr.edu","Panama",NA,NA,"public",3835275
"15","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","15.65","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3893708
"16","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","17.95","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3893713
"17","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","19.11","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3893871
"18","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","14.15","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3894809
"19","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","19.46","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3894440
"20","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","14.68","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3894993
"21","Olacaceae","Heisteria","Heisteria concinna","seed mass","179.13","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3894860
"22","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","19.87","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895052
"23","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","21.2","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895053
"24","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","10.67","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3894923
"25","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","21.33","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895054
"26","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","21.5","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895055
"27","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","14","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3894960
"28","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","15.41","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895034
"29","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","23.23","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895056
"30","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","26.25","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895057
"31","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","26.37","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895058
"32","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","27.38","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895059
"33","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","28.32","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895060
"34","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","29.08","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895061
"35","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","29.31","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895062
"36","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","29.31","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895063
"37","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","30","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895064
"38","Olacaceae","Heisteria","Heisteria concinna","leaf area per leaf dry mass","31.32","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3895065
