"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","6/11/1920","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14178
"2","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101802
"3","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","5/24/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101798
"4","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","6/15/1950","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101854
"5","Oxalidaceae","Oxalis","Oxalis violacea","plant flowering begin","5/11/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3106937
"6","Oxalidaceae","Oxalis","Oxalis violacea","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3106941
"7","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3106979
"8","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3106980
"9","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","6/10/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3106981
"10","Oxalidaceae","Oxalis","Oxalis stricta","plant flowering begin","6/12/1914","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3106982
