"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Poaceae","Elytrigia","Elytrigia repens","plant flowering begin","6/18/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14387
"2","Poaceae","Bromus","Bromus inermis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14395
"3","Poaceae","Digitaria","Digitaria sanguinalis","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14400
"4","Poaceae","Elymus","Elymus virginicus","plant flowering begin","7/1/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14401
"5","Poaceae","Alopecurus","Alopecurus aequalis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14571
"6","Poaceae","Avena","Avena fatua","plant flowering begin","7/1/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14577
"7","Poaceae","Dactylis","Dactylis glomerata","whole plant height","1.2","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",14581
"8","Poaceae","Cinna","Cinna latifolia","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14582
"9","Poaceae","Elymus","Elymus canadensis","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14601
"10","Poaceae","Cenchrus","Cenchrus americanus","plant flowering begin","7/9/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14620
"11","Poaceae","Gastridium","Gastridium ventricosum","seed mass","0.06","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",14607
"12","Poaceae","Spartina","Spartina pectinata","plant flowering begin","7/24/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14609
"13","Poaceae","Nassella","Nassella viridula","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14614
"14","Poaceae","Sporobolus","Sporobolus cryptandrus","plant flowering begin","7/24/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14619
"15","Poaceae","Taeniatherum","Taeniatherum caput-medusae","seed mass","2.957","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",14622
"16","Poaceae","Aira","Aira caryophyllea","leaf nitrogen content per leaf dry mass","26.47187","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu","United States","North Carolina",NA,"public",15253
"17","Poaceae","Chusquea","Chusquea pittieri","diameter at breast height (1.3 m)","2.7","cm",NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",87721
"18","Poaceae","Chusquea",NA,"diameter at breast height (1.3 m)","3.59","cm",NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",275704
"19","Poaceae","Chusquea",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",748138
"20","Poaceae","Chusquea",NA,"diameter at breast height (1.3 m)","2.59","cm",NA,10.1383,-84.1231,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1517814
"21","Poaceae","Chusquea",NA,"whole plant growth form","tree",NA,NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1781144
"22","Poaceae","Chusquea",NA,"whole plant growth form","tree",NA,NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1814095
"23","Poaceae","Chusquea",NA,"whole plant growth form","tree",NA,NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1845293
"24","Poaceae","Chusquea",NA,"whole plant growth form","tree",NA,NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1909527
"25","Poaceae","Chusquea","Chusquea pittieri","whole plant growth form","tree",NA,NA,10.1825,-84.1069,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1957622
"26","Poaceae","Chusquea",NA,"whole plant growth form","tree",NA,NA,10.1383,-84.1231,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1957633
"27","Poaceae","Bromus","Bromus inermis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101923
"28","Poaceae","Alopecurus","Alopecurus aequalis","plant flowering begin","6/13/1926","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101925
"29","Poaceae","Bromus","Bromus inermis","plant flowering begin","6/17/1925","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101926
"30","Poaceae","Agropyron",NA,"plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101992
"31","Poaceae","Cinna","Cinna latifolia","plant flowering begin","7/15/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102009
"32","Poaceae","Elytrigia","Elytrigia repens","plant flowering begin","6/26/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102011
"33","Poaceae","Bromus","Bromus inermis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102014
"34","Poaceae","Dactylis","Dactylis glomerata","plant flowering begin","6/22/1923","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102027
"35","Poaceae","Digitaria","Digitaria ischaemum","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102033
"36","Poaceae","Melica","Melica californica","leaf carbon content per leaf nitrogen content","26.8092105",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3102049
"37","Poaceae","Hordeum","Hordeum jubatum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102060
