"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Polemoniaceae","Gilia","Gilia tricolor","seed mass","0.542","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",14634
"2","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14637
"3","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14639
"4","Polemoniaceae","Polemonium","Polemonium viscosum","leaf nitrogen content per leaf dry mass","40.5553837","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",NA,NA,4267,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado",NA,"public",3101934
"5","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/6/1949","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102092
"6","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5/17/1949","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104276
"7","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104277
"8","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107277
"9","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","5/15/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107446
"10","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107441
"11","Polemoniaceae","Polemonium","Polemonium viscosum","leaf carbon content per leaf dry mass","390.540267","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",NA,NA,4267,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado",NA,"public",3108147
"12","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108289
"13","Polemoniaceae","Polemonium","Polemonium viscosum","leaf carbon content per leaf dry mass","407.801949","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",NA,NA,4267,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado",NA,"public",3114311
"14","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5/28/1944","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114347
"15","Polemoniaceae","Phlox","Phlox divaricata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3124167
"16","Polemoniaceae","Phlox","Phlox glaberrima","whole plant height","1","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3132530
"17","Polemoniaceae","Phlox","Phlox maculata","whole plant height","0.9","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3132531
"18","Polemoniaceae","Polemonium","Polemonium viscosum","leaf phosphorus content per leaf dry mass","5.76597","mg.g-1",NA,NA,NA,4267,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado",NA,"public",3167680
"19","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","6/3/1950","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3170590
"20","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","5/4/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3171477
"21","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/24/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3175013
"22","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","5/21/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3171958
"23","Polemoniaceae","Phlox","Phlox divaricata","plant flowering begin","5/8/1949","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3172432
"24","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","4","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3172439
"25","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","4/12/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3172528
"26","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","5/2/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3172518
"27","Polemoniaceae","Phlox","Phlox hoodii","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3172552
"28","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3174688
"29","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/12/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3174617
"30","Polemoniaceae","Gilia","Gilia capitata","leaf carbon content per leaf nitrogen content","16.2790698",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3175882
"31","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3208509
"32","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/19/1960","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3209259
"33","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/15/1951","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3209260
"34","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222959
"35","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5/3/1952","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3221902
"36","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5/15/1951","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222081
"37","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222105
"38","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","5/19/1948","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222634
"39","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/22/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222839
"40","Polemoniaceae","Collomia","Collomia heterophylla","leaf area per leaf dry mass","0.21577821","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3222958
"41","Polemoniaceae","Phlox","Phlox gracilis","leaf area per leaf dry mass","0.235617716","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3222961
"42","Polemoniaceae","Linanthus","Linanthus ciliatus","leaf area per leaf dry mass","0.132846004","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3222971
"43","Polemoniaceae","Phlox","Phlox gracilis","leaf carbon content per leaf nitrogen content","19.4527363",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3222978
"44","Polemoniaceae","Phlox","Phlox subulata","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222983
"45","Polemoniaceae","Phlox","Phlox diffusa","leaf carbon content per leaf nitrogen content","33.7459016",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3222984
"46","Polemoniaceae","Phlox","Phlox diffusa","leaf area per leaf dry mass","0.139680032","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3222988
"47","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/5/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222999
"48","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5/21/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3257972
"49","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3472134
"50","Polemoniaceae","Polemonium","Polemonium reptans","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3480326
