"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Polygalaceae","Polygala","Polygala alba","plant flowering begin","6/16/1912","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108409
"2","Polygalaceae","Polygala","Polygala polygama","whole plant height","0.25","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3151827
"3","Polygalaceae","Polygala","Polygala paucifolia","whole plant height","0.1","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3151826
"4","Polygalaceae","Polygala","Polygala senega","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3170593
"5","Polygalaceae","Polygala","Polygala alba","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3208560
"6","Polygalaceae","Polygala","Polygala senega","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222816
"7","Polygalaceae","Polygala","Polygala senega","plant flowering begin","5/28/1939","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222895
"8","Polygalaceae","Polygala","Polygala senega","plant flowering begin","6/7/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222938
"9","Polygalaceae","Polygala","Polygala senega","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222939
"10","Polygalaceae","Polygala","Polygala senega","plant flowering begin","6/2/1942","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223023
"11","Polygalaceae","Polygala","Polygala senega","whole plant height","0.5","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3243311
"12","Polygalaceae","Monnina","Monnina ciliolata","whole plant growth form","shrub",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Guillermo_Ibarra-Manriquez/publication/257197702_Fruiting_phenology_of_seed_dispersal_syndromes_in_a_Mexican_Neotropical_temperate_forest/links/5665c34e08ae418a786f266d.pdf","Cortés-Flores F",NA,"Mexico",NA,NA,"public",3846718
"13","Polygalaceae","Polygala","Polygala californica","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://onlinelibrary.wiley.com.ezproxy2.library.arizona.edu/doi/10.2307/1943563/epdf","Whittaker RH",NA,"United States",NA,"Siskiyou Mountains","public",3849344
"14","Polygalaceae","Polygala","Polygala sanguinea","whole plant height","1.5","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3900314
"15","Polygalaceae","Polygala","Polygala verticillata","whole plant height","0.25","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3900479
"16","Polygalaceae","Polygala","Polygala cruciata","whole plant height","0.26","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3907355
"17","Polygalaceae","Moutabea","Moutabea gentryi","diameter at breast height (1.3 m)","0.6","cm",NA,10.4426,-84.0656,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",102217
"18","Polygalaceae","Moutabea","Moutabea gentryi","diameter at breast height (1.3 m)","1.6","cm",NA,10.4115,-84.1131,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",102270
"19","Polygalaceae","Moutabea","Moutabea gentryi","diameter at breast height (1.3 m)","0.9","cm",NA,10.4115,-84.1131,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",102271
"20","Polygalaceae","Securidaca","Securidaca diversifolia","diameter at breast height (1.3 m)","6.4","cm",NA,10.2958,-84.0769,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",141697
"21","Polygalaceae","Moutabea","Moutabea gentryi","diameter at breast height (1.3 m)","2.2","cm",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",169410
"22","Polygalaceae","Moutabea","Moutabea gentryi","diameter at breast height (1.3 m)","0.8","cm",NA,10.412,-84.0078,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",358477
"23","Polygalaceae","Moutabea","Moutabea gentryi","diameter at breast height (1.3 m)","1.2","cm",NA,10.412,-84.0078,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",358479
