"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Polygonaceae","Polygonum","Polygonum lapathifolium","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14629
"2","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","6/10/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14662
"3","Polygonaceae","Rumex","Rumex mexicanus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14929
"4","Polygonaceae","Coccoloba",NA,"diameter at breast height (1.3 m)","0.6","cm",NA,10.4248,-84.0395,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1126666
"5","Polygonaceae","Coccoloba",NA,"whole plant growth form","liana",NA,NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1946462
"6","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","6/3/1915","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102035
"7","Polygonaceae","Persicaria","Persicaria amphibia","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102096
"8","Polygonaceae","Rumex","Rumex mexicanus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102198
"9","Polygonaceae","Rumex","Rumex mexicanus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102220
"10","Polygonaceae","Rumex","Rumex crispus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102221
"11","Polygonaceae","Polygonum","Polygonum bistortoides","seed mass","0.971","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3103118
"12","Polygonaceae","Coccoloba","Coccoloba liportizii","leaf phosphorus content per leaf dry mass","1.32647","mg.g-1",NA,10.9285,-85.4653,1225,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste"," 1 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",3104270
"13","Polygonaceae","Rheum",NA,"plant flowering begin","5/24/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108478
"14","Polygonaceae","Rheum",NA,"plant flowering begin","5/26/1942","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108516
"15","Polygonaceae","Rheum",NA,"plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107829
"16","Polygonaceae","Polygonum","Polygonum aviculare","plant flowering begin","6/10/1949","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107875
"17","Polygonaceae","Polygonum","Polygonum aviculare","plant flowering begin","6/10/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107877
"18","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107938
"19","Polygonaceae","Polygonum","Polygonum aviculare","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108421
"20","Polygonaceae","Polygonum","Polygonum aviculare","plant flowering begin","6/9/1951","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108424
"21","Polygonaceae","Persicaria","Persicaria amphibia","plant flowering begin","7/6/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108427
"22","Polygonaceae","Persicaria","Persicaria amphibia","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108428
"23","Polygonaceae","Persicaria","Persicaria amphibia","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108429
"24","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108483
"25","Polygonaceae","Eriogonum",NA,"leaf carbon content per leaf nitrogen content","14.2032787",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3108473
"26","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","6/30/1953","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108484
"27","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","5/30/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108485
"28","Polygonaceae","Polygonum","Polygonum persicaria","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108509
"29","Polygonaceae","Rumex","Rumex mexicanus","plant flowering begin","6/11/1933","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108830
"30","Polygonaceae","Polygonum","Polygonum achoreum","plant flowering begin","6/20/1920","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114353
"31","Polygonaceae","Polygonum","Polygonum ramosissimum","plant flowering begin","7/25/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114372
"32","Polygonaceae","Polygonum","Polygonum persicaria","plant flowering begin","7/28/1922","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114373
"33","Polygonaceae","Rheum",NA,"plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114380
"34","Polygonaceae","Rumex","Rumex crispus","plant flowering begin","6/11/1933","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114574
"35","Polygonaceae","Rumex","Rumex mexicanus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114558
"36","Polygonaceae","Ruprechtia","Ruprechtia fusca","leaf area per leaf dry mass","10.59","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3114665
"37","Polygonaceae","Ruprechtia","Ruprechtia fusca","stem wood density","0.48","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.6p9v5","Bhaskar R","radika@gmail.com","Mexico","Jalisco",NA,"public",3114672
"38","Polygonaceae","Rumex","Rumex occidentalis","whole plant height","1.5","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3114691
"39","Polygonaceae","Rheum",NA,"plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3118619
"40","Polygonaceae","Polygonum","Polygonum aviculare","seed mass","0.965717","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3119602
"41","Polygonaceae","Rheum",NA,"plant flowering begin","5/18/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3120384
"42","Polygonaceae","Triplaris","Triplaris cumingiana","seed mass","46.14","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3120391
"43","Polygonaceae","Rheum",NA,"plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3121481
"44","Polygonaceae","Polygonum","Polygonum convolvulus","plant flowering begin","6/25/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3124286
"45","Polygonaceae","Persicaria","Persicaria hydropiper","whole plant height","0.6","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3134812
