"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108542
"2","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108543
"3","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108546
"4","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114384
"5","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","6/23/1929","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114391
"6","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/26/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3151862
"7","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","6/21/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3176143
"8","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223231
"9","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/6/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223154
"10","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222247
"11","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/11/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222289
"12","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223202
"13","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223223
"14","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223230
"15","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/3/1923","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223468
"16","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/3/1953","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223469
"17","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/5/1954","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223473
"18","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223481
"19","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","7/6/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3223704
"20","Portulacaceae","Portulaca","Portulaca oleracea","plant flowering begin","8/2/1925","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3258363
"21","Portulacaceae","Portulaca","Portulaca umbraticola","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845380
"22","Portulacaceae","Portulaca","Portulaca suffrutescens","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845381
"23","Portulacaceae","Portulaca","Portulaca oleracea","seed mass","0.45","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4429470
"24","Portulacaceae","Portulaca","Portulaca oleracea","seed mass","0.125","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4429471
