"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Ranunculaceae","Thalictrum","Thalictrum venulosum","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",13889
"2","Ranunculaceae","Ranunculus","Ranunculus abortivus","plant flowering begin","5/9/1920","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14811
"3","Ranunculaceae","Ranunculus","Ranunculus rhomboideus","plant flowering begin","4/20/1932","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14822
"4","Ranunculaceae","Ranunculus","Ranunculus abortivus","plant flowering begin","5/21/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14834
"5","Ranunculaceae","Clematis","Clematis virginiana","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15605
"6","Ranunculaceae","Clematis","Clematis virginiana","plant flowering begin","7/12/1929","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15654
"7","Ranunculaceae","Ranunculus","Ranunculus sceleratus","plant flowering begin","5/31/1960","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102171
"8","Ranunculaceae","Anemone","Anemone cylindrica","plant flowering begin","6/26/1953","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102173
"9","Ranunculaceae","Caltha","Caltha palustris","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102174
"10","Ranunculaceae","Ranunculus","Ranunculus repens","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102177
"11","Ranunculaceae","Aquilegia","Aquilegia pubescens","seed mass","0.755","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3103146
"12","Ranunculaceae","Clematis","Clematis virginiana","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104143
"13","Ranunculaceae","Clematis","Clematis virginiana","plant flowering begin","7/5/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104144
"14","Ranunculaceae","Ranunculus","Ranunculus cymbalaria","plant flowering begin","5/22/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107369
"15","Ranunculaceae","Ranunculus","Ranunculus hispidus","plant flowering begin","6/1/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3107370
"16","Ranunculaceae","Ranunculus","Ranunculus abortivus","plant flowering begin","5/13/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108363
"17","Ranunculaceae","Actaea","Actaea rubra","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108370
"18","Ranunculaceae","Anemone","Anemone quinquefolia","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108633
"19","Ranunculaceae","Aquilegia","Aquilegia canadensis","plant flowering begin","5/23/1948","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108763
"20","Ranunculaceae","Aquilegia","Aquilegia canadensis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108786
"21","Ranunculaceae","Aquilegia","Aquilegia canadensis","plant flowering begin","5/28/1959","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108793
"22","Ranunculaceae","Actaea","Actaea rubra","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108794
"23","Ranunculaceae","Anemone","Anemone cylindrica","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108795
"24","Ranunculaceae","Aquilegia","Aquilegia canadensis","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108796
"25","Ranunculaceae","Anemone","Anemone patens","plant flowering begin","3/30/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108798
"26","Ranunculaceae","Anemone","Anemone virginiana","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108799
"27","Ranunculaceae","Caltha","Caltha palustris","plant flowering begin","5/13/1940","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108802
"28","Ranunculaceae","Ranunculus","Ranunculus cymbalaria","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108823
"29","Ranunculaceae","Ranunculus","Ranunculus cymbalaria","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108824
"30","Ranunculaceae","Ranunculus","Ranunculus flabellaris","plant flowering begin","5/25/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108832
"31","Ranunculaceae","Ranunculus","Ranunculus macounii","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108835
"32","Ranunculaceae","Ranunculus","Ranunculus macounii","plant flowering begin","6/3/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108837
"33","Ranunculaceae","Ranunculus","Ranunculus macounii","plant flowering begin","6/2/1915","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108838
"34","Ranunculaceae","Ranunculus","Ranunculus macounii","plant flowering begin","5/21/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108839
"35","Ranunculaceae","Delphinium","Delphinium carolinianum","plant flowering begin","6/22/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3108855
"36","Ranunculaceae","Thalictrum","Thalictrum venulosum","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109411
"37","Ranunculaceae","Clematis","Clematis virginiana","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111228
"38","Ranunculaceae","Delphinium","Delphinium bicolor","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111675
"39","Ranunculaceae","Delphinium","Delphinium carolinianum","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3113082
"40","Ranunculaceae","Anemone","Anemone quinquefolia","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114434
"41","Ranunculaceae","Actaea","Actaea rubra","plant flowering begin","5/11/1941","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114433
"42","Ranunculaceae","Ranunculus","Ranunculus macounii","plant flowering begin","6/17/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114452
"43","Ranunculaceae","Ranunculus","Ranunculus septentrionalis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114454
"44","Ranunculaceae","Ranunculus","Ranunculus pennsylvanicus","whole plant height","0.6","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3117026
"45","Ranunculaceae","Clematis","Clematis virginiana","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3119265
