"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Rubiaceae","Faramea","Faramea occidentalis","leaf area","6250.8","mm2","LICOR-3100 area meter",8.678606,-83.5791,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",14198
"2","Rubiaceae","Palicourea",NA,"leaf carbon content per leaf dry mass","424.3","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",10.9326,-85.4588,1500,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","30 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",14437
"3","Rubiaceae","Arachnothryx","Arachnothryx buddleioides","stem wood density","0.56","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",15372
"4","Rubiaceae","Psychotria","Psychotria elata","diameter at breast height (1.3 m)","5.2","cm",NA,10.4054,-84.102,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",344291
"5","Rubiaceae","Randia","Randia thurberi","diameter at breast height (1.3 m)","3","cm",NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",774560
"6","Rubiaceae","Randia","Randia thurberi","diameter at breast height (1.3 m)","2.5","cm",NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",774593
"7","Rubiaceae","Rondeletia",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,15.3333,-92.25,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",813579
"8","Rubiaceae","Rondeletia",NA,"diameter at breast height (1.3 m)","3","cm",NA,15.3333,-92.25,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",826894
"9","Rubiaceae","Arachnothryx","Arachnothryx scabra","diameter at breast height (1.3 m)","2.5","cm",NA,17.6208,-96.3667,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",869101
"10","Rubiaceae","Randia","Randia tetracantha","diameter at breast height (1.3 m)","3","cm",NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1018407
"11","Rubiaceae","Randia","Randia thurberi","diameter at breast height (1.3 m)","3","cm",NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1138356
"12","Rubiaceae","Rudgea","Rudgea skutchii","diameter at breast height (1.3 m)","3.09","cm",NA,10.2772,-84.0825,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1193644
"13","Rubiaceae","Rudgea","Rudgea cornifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1516355
"14","Rubiaceae","Rondeletia",NA,"diameter at breast height (1.3 m)","4","cm",NA,15.3333,-92.25,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1530681
"15","Rubiaceae","Sabicea","Sabicea panamensis","whole plant growth form","liana",NA,NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1757915
"16","Rubiaceae","Sabicea","Sabicea panamensis","whole plant growth form","liana",NA,NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1761540
"17","Rubiaceae","Sabicea",NA,"whole plant growth form","liana",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1781726
"18","Rubiaceae","Pentagonia","Pentagonia monocaulis","whole plant growth form","tree",NA,NA,10.4134,-84.0278,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","Costa Rica",NA,NA,"public",1794309
"19","Rubiaceae","Faramea",NA,"whole plant growth form","tree",NA,NA,8.5,-83.607,NA,NA,"James S. MIller",NA,"Costa Rica",NA,NA,"public",1796549
"20","Rubiaceae","Palicourea","Palicourea macrantha","whole plant growth form","tree",NA,NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1839765
"21","Rubiaceae","Rondeletia",NA,"whole plant growth form","tree",NA,NA,15.3333,-92.25,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1856339
"22","Rubiaceae","Rondeletia",NA,"whole plant growth form","tree",NA,NA,15.3333,-92.25,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1861953
"23","Rubiaceae","Arachnothryx","Arachnothryx torresii","whole plant growth form","tree",NA,NA,10.1825,-84.1069,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1878508
"24","Rubiaceae","Arachnothryx","Arachnothryx scabra","whole plant growth form","tree",NA,NA,17.6208,-96.3667,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1907673
"25","Rubiaceae","Elaeagia","Elaeagia nitidifolia","whole plant growth form","tree",NA,NA,10.2972,-84.0736,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1909530
"26","Rubiaceae","Palicourea",NA,"whole plant growth form","tree",NA,NA,10.2,-84.1,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1918442
"27","Rubiaceae","Coussarea","Coussarea talamancana","whole plant growth form","tree",NA,NA,10.3328,-84.0789,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1944705
"28","Rubiaceae","Galium","Galium triflorum","plant flowering begin","5/12/1928","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101408
"29","Rubiaceae","Faramea","Faramea occidentalis","leaf area","3375.5","mm2","LICOR-3100 area meter",8.682338,-83.5732,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3101847
"30","Rubiaceae","Galium","Galium parisiense","leaf area per leaf dry mass","0.872075472","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3102222
"31","Rubiaceae","Faramea","Faramea occidentalis","leaf fresh mass","1.134","g","Radwag WTB 200 Precision Balance",8.680244,-83.5774,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3102264
"32","Rubiaceae","Guettarda","Guettarda scabra","whole plant height","5.1816","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,"United States",NA,NA,"public",3103068
"33","Rubiaceae","Faramea","Faramea permagnifolia","leaf area per leaf dry mass","10.644","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.680337,-83.5772,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3104124
"34","Rubiaceae","Faramea",NA,"leaf phosphorus content per leaf dry mass","0.82286","mg.g-1",NA,10.9285,-85.4653,1225,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste"," 1 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",3107390
"35","Rubiaceae","Faramea","Faramea occidentalis","leaf dry mass","0.255","g","Radwag WTB 200 Precision Balance",8.705146,-83.5334,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3107609
"36","Rubiaceae","Faramea","Faramea occidentalis","leaf dry mass","0.444","g","Radwag WTB 200 Precision Balance",8.680244,-83.5774,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109346
"37","Rubiaceae","Faramea","Faramea occidentalis","leaf thickness","0.28","mm","Mitutoyo 7321 dial thickness gauge",8.721984,-83.5755,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109148
"38","Rubiaceae","Chimarrhis","Chimarrhis parviflora","leaf phosphorus content per leaf dry mass","0.81817191","mg.g-1",NA,10.98407,-85.42447,650,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste Pitilla Station","public",3109160
"39","Rubiaceae","Elaeagia",NA,"leaf nitrogen content per leaf dry mass","39.903","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.54316,-85.16853,431,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Alajuela","Area de Concervacion Guanacaste Sector Rincon Rainforest (Caribe)","public",3109176
"40","Rubiaceae","Guettarda","Guettarda crispiflora","leaf nitrogen content per leaf dry mass","28.623","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.9326,-85.4588,1500,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste"," 1 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",3109190
"41","Rubiaceae","Faramea","Faramea occidentalis","leaf area per leaf dry mass","18.341","m2.kg-1","LAcm2/(LDMmg*1g/1000mg)",8.682338,-83.5732,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109238
"42","Rubiaceae","Tocoyena","Tocoyena pittieri","seed mass","715.545","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3109264
"43","Rubiaceae","Faramea","Faramea occidentalis","leaf thickness","0.29","mm","Mitutoyo 7321 dial thickness gauge",8.680094,-83.5779,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109313
"44","Rubiaceae","Faramea","Faramea permagnifolia","leaf fresh mass","8.403","g","Radwag WTB 200 Precision Balance",8.728298,-83.5663,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3109375
"45","Rubiaceae","Blepharidium","Blepharidium guatemalense","stem wood density","0.5","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","Mexico",NA,NA,"public",3110938
"46","Rubiaceae",NA,NA,"leaf carbon content per leaf dry mass","507.81731","mg.g-1","carbon concentration of oven-dried (70ÃÂ°C for 72 hours) tissue",10.9285,-85.4653,1225,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste"," 1 km above Cacao Biological Station. Pacific slope of Cacao Volcano.","public",3111593
"47","Rubiaceae","Galium","Galium aparine","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111955
"48","Rubiaceae","Amaioua","Amaioua corymbosa","seed mass","6.433","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3114553
"49","Rubiaceae","Faramea","Faramea occidentalis","leaf thickness","0.29","mm","Mitutoyo 7321 dial thickness gauge",8.721984,-83.5755,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114559
"50","Rubiaceae","Coussarea","Coussarea suaveolens","Leaf lamina fracture toughness","210.306","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3114596
"51","Rubiaceae","Galium","Galium parisiense","leaf carbon content per leaf nitrogen content","17.4354839",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",3114604
"52","Rubiaceae","Genipa","Genipa americana","seed mass","88.758","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","Panama",NA,NA,"public",3114606
"53","Rubiaceae","Genipa","Genipa americana","Leaf lamina fracture toughness","299.885","J.m-2","lamina fracture toughness is the work to fracture leaf tissue divided by fracture area (lamina thickness * length of fracture). Species means of the individual means of two leaves per individual.",9.166667,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.8525","Westbrook JW","jwestbrook@ufl.edu","Panama","Panama",NA,"public",3114608
"54","Rubiaceae","Faramea","Faramea permagnifolia","leaf dry mass per leaf fresh mass","267.442","mg.g-1","LDMmg/LFMg",8.679713,-83.5774,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114666
"55","Rubiaceae","Faramea","Faramea permagnifolia","leaf dry mass per leaf fresh mass","309.852","mg.g-1","LDMmg/LFMg",8.680158,-83.5777,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114677
"56","Rubiaceae","Faramea","Faramea permagnifolia","leaf dry mass per leaf fresh mass","330.396","mg.g-1","LDMmg/LFMg",8.678606,-83.5791,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114684
"57","Rubiaceae","Faramea","Faramea permagnifolia","leaf dry mass per leaf fresh mass","279.956","mg.g-1","LDMmg/LFMg",8.728298,-83.5663,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114699
"58","Rubiaceae","Faramea","Faramea permagnifolia","whole plant height","4","m","Clinometer and distance measurer",8.678606,-83.5791,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114730
"59","Rubiaceae","Faramea","Faramea occidentalis","leaf dry mass","0.224","g","Radwag WTB 200 Precision Balance",8.680087,-83.5772,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3114736
"60","Rubiaceae","Galium","Galium tinctorium","whole plant height","0.2","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3117128
"61","Rubiaceae","Faramea","Faramea occidentalis","stem wood density","0.609","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama","Panama",NA,"public",3117685
"62","Rubiaceae","Posoqueria","Posoqueria latifolia","stem wood density","0.64","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3117698
"63","Rubiaceae","Randia","Randia armata","leaf area per leaf dry mass","18.04","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3117699
"64","Rubiaceae","Randia","Randia armata","leaf area per leaf dry mass","20.45","m2.kg-1",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3117702
"65","Rubiaceae","Tocoyena","Tocoyena pittieri","stem wood density","0.64","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3117710
"66","Rubiaceae","Faramea","Faramea permagnifolia","leaf area","22938.6","mm2","LICOR-3100 area meter",8.680337,-83.5772,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3119200
"67","Rubiaceae","Faramea","Faramea permagnifolia","leaf thickness","0.36","mm","Mitutoyo 7321 dial thickness gauge",8.728298,-83.5663,NA,NA,"ChacÃ³n E","edchacon@gmail.com","Costa Rica",NA,NA,"public",3119673
"68","Rubiaceae","Guettarda","Guettarda macrosperma","leaf nitrogen content per leaf dry mass","26.241","mg.g-1","Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003",10.76667,-85.33333,761,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste el Rincon de la Vieja. Sector Las Pailas.","public",3120436
"69","Rubiaceae","Randia","Randia armata","seed mass","85.21","mg",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.h9083","Paine CET","c.e.t.paine@stir.ac.uk","Panama",NA,NA,"public",3120946
"70","Rubiaceae","Psychotria","Psychotria tenuifolia","leaf area","1630","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Florida Panther National Wildlife Refuge","public",3121669
"71","Rubiaceae","Psychotria","Psychotria tenuifolia","leaf area","1790","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","United States","Florida","Florida Panther National Wildlife Refuge","public",3121670
