"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6/13/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",14455
"2","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15114
"3","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6/24/1920","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15115
"4","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6/20/1914","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15116
"5","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102372
"6","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","5/25/1938","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3103811
"7","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6/7/1925","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3114975
"8","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3124716
"9","Saxifragaceae","Heuchera","Heuchera micrantha","whole plant height","0.6","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3159909
"10","Saxifragaceae","Heuchera","Heuchera micrantha","seed mass","0.037394","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3159917
"11","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","5/26/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3171394
"12","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","7/6/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3180321
"13","Saxifragaceae","Tiarella","Tiarella trifoliata","whole plant height","0.5","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3181093
"14","Saxifragaceae","Tiarella","Tiarella trifoliata","seed mass","0.426725","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3181869
"15","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3209616
"16","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3222974
"17","Saxifragaceae","Tellima","Tellima grandiflora","seed mass","0.048356","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3225735
"18","Saxifragaceae","Tellima","Tellima grandiflora","whole plant height","0.8","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3225786
"19","Saxifragaceae","Tellima","Tellima grandiflora","leaf area","5777","mm2","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3226791
"20","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6/2/1912","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3227184
"21","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3227596
"22","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6/2/1942","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3227662
"23","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3227666
"24","Saxifragaceae","Tellima","Tellima grandiflora","leaf area per leaf dry mass","34.21184","m2.kg-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com","United States","Washington",NA,"public",3661999
"25","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3704639
"26","Saxifragaceae","Heuchera","Heuchera richardsonii","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3704722
"27","Saxifragaceae","Boykinia","Boykinia occidentalis","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://and.lternet.edu/lter/pubs/pdf/pub865.pdf","Schoonmaker P",NA,"United States","Oregon","Western Cascade Mountains","public",3843895
"28","Saxifragaceae","Tiarella","Tiarella unifoliata","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://and.lternet.edu/lter/pubs/pdf/pub865.pdf","Schoonmaker P",NA,"United States","Oregon","Western Cascade Mountains","public",3843901
"29","Saxifragaceae","Saxifraga","Saxifraga hirculus","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://arctic.journalhosting.ucalgary.ca/arctic/index.php/arctic/article/viewFile/1635/1614","Edlund SA",NA,"Canada",NA,NA,"public",3843915
"30","Saxifragaceae","Heuchera","Heuchera versicolor","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845311
"31","Saxifragaceae","Saxifraga","Saxifraga eriophora","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://www.jstor.org.ezproxy4.library.arizona.edu/stable/pdf/40021924.pdf","Whittaker RH",NA,"United States","Arizona","Santa Clarita Mountains","public",3845393
"32","Saxifragaceae","Tolmiea",NA,"whole plant growth form","herb",NA,NA,NA,NA,NA,"http://search.proquest.com.ezproxy4.library.arizona.edu/docview/888474796?pq-origsite=gscholar","Urgenson LS",NA,"United States","Washington",NA,"public",3854736
"33","Saxifragaceae","Chrysosplenium","Chrysosplenium americanum","whole plant height","0.1","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3926945
"34","Saxifragaceae","Lithophragma","Lithophragma heterophyllum","leaf carbon content per leaf nitrogen content","16.5186722",NA,NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",4307873
"35","Saxifragaceae","Lithophragma","Lithophragma heterophyllum","leaf area per leaf dry mass","0.412793545","m2.kg-1",NA,NA,NA,1750,"http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu","United States","California",NA,"public",4307906
"36","Saxifragaceae","Heuchera","Heuchera rubescens","seed mass","0.043","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4420535
"37","Saxifragaceae","Heuchera","Heuchera pilosissima","seed mass","0.065","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4428416
"38","Saxifragaceae","Darmera","Darmera peltata","seed mass","0.238","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430393
"39","Saxifragaceae","Heuchera","Heuchera micrantha","seed mass","0.02","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430416
"40","Saxifragaceae","Tellima","Tellima grandiflora","seed mass","0.031","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430447
"41","Saxifragaceae","Tellima","Tellima grandiflora","seed mass","0.041","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430448
"42","Saxifragaceae","Tiarella","Tiarella trifoliata","seed mass","0.35","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4428743
"43","Saxifragaceae","Heuchera","Heuchera micrantha","seed mass","0.024","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4428751
"44","Saxifragaceae","Tolmiea","Tolmiea menziesii","seed mass","0.056","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430378
"45","Saxifragaceae","Heuchera","Heuchera micrantha","seed mass","0.05","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430407
"46","Saxifragaceae","Heuchera","Heuchera maxima","seed mass","0.039","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430414
"47","Saxifragaceae","Heuchera","Heuchera pilosissima","seed mass","0.026","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430421
"48","Saxifragaceae","Heuchera","Heuchera rubescens","seed mass","0.062","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430432
"49","Saxifragaceae","Darmera","Darmera peltata","seed mass","0.184","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430433
"50","Saxifragaceae","Heuchera","Heuchera micrantha","seed mass","0.056","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430434
"51","Saxifragaceae","Lithophragma","Lithophragma heterophyllum","seed mass","0.024","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430435
"52","Saxifragaceae","Jepsonia","Jepsonia heterandra","seed mass","0.098","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430438
"53","Saxifragaceae","Mitella","Mitella breweri","seed mass","0.136","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430439
"54","Saxifragaceae","Mitella","Mitella breweri","seed mass","0.139","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430440
"55","Saxifragaceae","Mitella","Mitella trifida","seed mass","0.031","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",4430442
