"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Alternanthera","Alternanthera sessilis","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com",NA,NA,NA,"public",3117965
"2","Alternanthera","Alternanthera pumila","seed mass","0.6","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3138991
"3","Alternanthera","Alternanthera sessilis","seed mass","0.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3139408
"4","Alternanthera","Alternanthera sessilis","seed mass","0.415","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3139478
"5","Alternanthera","Alternanthera sessilis","seed mass","0.308578","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3139611
"6","Alternanthera","Alternanthera polycephala","seed mass","0.718","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3139629
"7","Alternanthera","Alternanthera philoxeroides","flower color","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"public",3145776
"8","Alternanthera","Alternanthera polycephala","whole plant growth form","4",NA,NA,NA,NA,NA,NA,"Angela Moles","a.moles@unsw.edu.au",NA,NA,NA,"public",3143335
"9","Alternanthera","Alternanthera polycephala","seed mass","0.361","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ",NA,NA,NA,"public",3241058
"10","Alternanthera","Alternanthera filifolia","whole plant growth form","shrub",NA,NA,NA,NA,NA,"http://s3.amazonaws.com/academia.edu.documents/36739349/Hamann_2001.Demographic_studies_.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1492574356&Signature=6O3F8Espsnzukozyl17i7lz6nCQ%3D&response-content-disposition=inline%3B%20filename%3DDemographic_studies_of_three_indigenous.pdf","Hamann O","oleh@bot.ku.dk",NA,NA,NA,"public",3846930
"11","Alternanthera","Alternanthera porrigens","whole plant growth form","herb",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Paul_Ramsay/publication/256086811_The_ecology_of_Volcan_Chiles_high-altitude_ecosystems_on_the_Ecuador-Colombia_border/links/00b4952189749b8cd8000000/The-ecology-of-Volcan-Chiles-high-altitude-ecosystems-on-the-Ecuador-Colombia-border.pdf#page=106","Ramsay P",NA,NA,NA,NA,"public",3851001
"12","Alternanthera","Alternanthera pungens","whole plant growth form","herb",NA,NA,NA,NA,NA,NA,"Bakoma B","bbakoma@yahoo.fr","Togo",NA,NA,"public",3852906
"13","Alternanthera","Alternanthera sessilis","whole plant growth form","herb",NA,NA,NA,NA,NA,"http://155.187.2.69/ssd/publications/rr/pubs/rr5.pdf","Finlayson CM",NA,"Australia",NA,NA,"public",3855174
"14","Alternanthera","Alternanthera sessilis","whole plant growth form","herb",NA,NA,NA,NA,NA,NA,"Naidu KV",NA,"India","Andhra Pradesh","Tirupati Hills","public",3859369
"15","Alternanthera","Alternanthera crucis","whole plant growth form","herb",NA,NA,NA,NA,NA,"https://www.nature.com/nature/journal/v428/n6985/abs/nature02403.html","Wright IJ","iwright@rna.bio.mq.edu.au",NA,NA,NA,"public",3860266
"16","Alternanthera","Alternanthera philoxeroides","whole plant growth form","herb",NA,NA,NA,NA,NA,"https://books.google.com/books?hl=en&lr=&id=Ns_UDgAAQBAJ&oi=fnd&pg=PR3&dq=plant+%22growth+form%22+shrub+herb+madagascar&ots=vDnaJI_wtP&sig=jb4NvOjqsndKzr-hkZLffWFiZH0#v=onepage&q&f=false","Weber E",NA,NA,NA,NA,"public",3862859
